"","Make","Make_Year","Color","Body_Type","Mileage_Run","No_of_Owners","Seating_Capacity","Fuel_Type","Transmission","Transmission_Type","Price"
"1","Volkswagen",2017,"silver","sedan",44611,"1st",5,"diesel","7-Speed","Automatic",657000
"2","Hyundai",2016,"red","crossover",20305,"1st",5,"petrol","5-Speed","Manual",682000
"3","Honda",2019,"white","suv",29540,"2nd",5,"petrol","5-Speed","Manual",793000
"4","Renault",2017,"bronze","hatchback",35680,"1st",5,"petrol","5-Speed","Manual",414000
"5","Hyundai",2017,"orange","hatchback",25126,"1st",5,"petrol","5-Speed","Manual",515000
"6","Hyundai",2016,"red","hatchback",52261,"1st",5,"petrol","5-Speed","Manual",604000
"7","Honda",2012,"grey","hatchback",28108,"2nd",5,"petrol","5-Speed","Manual",316000
"8","Tata",2019,"grey","suv",92603,"1st",5,"diesel","6-Speed","Automatic",1419000
"9","Hyundai",2021,"blue","hatchback",16304,"1st",5,"petrol","5-Speed","Manual",710000
"10","Renault",2019,"bronze","hatchback",26350,"2nd",5,"petrol","5-Speed","Manual",392000
"11","Renault",2020,"yellow","muv",35400,"1st",7,"petrol","5-Speed","Manual",613000
"12","Chevrolet",2013,"white","sedan",71450,"1st",5,"diesel","6-Speed","Automatic",598000
"13","Hyundai",2019,"grey","suv",32395,"1st",5,"petrol","7-Speed","Automatic",969000
"14","Tata",2021,"grey","suv",15059,"1st",7,"diesel","6-Speed","Automatic",2100000
"15","Maruti Suzuki",2019,"white","hatchback",31994,"1st",5,"petrol","5-Speed","Manual",666000
"16","Toyota",2020,"white","sedan",13768,"1st",5,"petrol","CVT","Automatic",1039000
"17","Tata",2022,"beige","suv",3174,"1st",5,"petrol","5-Speed","Manual",858000
"18","Renault",2017,"orange","suv",70137,"1st",5,"diesel","6-Speed","Automatic",860000
"19","Toyota",2018,"white","sedan",35913,"2nd",5,"petrol","6-Speed","Automatic",680000
"20","Hyundai",2018,"blue","hatchback",19056,"1st",5,"petrol","5-Speed","Manual",625000
"21","Volkswagen",2017,"brown","sedan",32492,"1st",5,"petrol","5-Speed","Manual",567000
"22","Maruti Suzuki",2014,"yellow","hatchback",22598,"1st",5,"petrol","5-Speed","Manual",371000
"23","Hyundai",2019,"grey","suv",85981,"1st",5,"diesel","6-Speed","Automatic",1076000
"24","Toyota",2017,"blue","hatchback",17791,"1st",5,"petrol","5-Speed","Manual",587000
"25","Hyundai",2016,"white","hatchback",26910,"2nd",5,"petrol","5-Speed","Manual",396000
"26","Maruti Suzuki",2014,"blue","sedan",28562,"1st",5,"petrol","5-Speed","Manual",554000
"27","Hyundai",2019,"white","sedan",40345,"1st",5,"petrol","6-Speed","Automatic",984000
"28","Maruti Suzuki",2019,"grey","hatchback",19550,"1st",5,"petrol","5-Speed","Manual",507000
"29","Hyundai",2017,"red","hatchback",54233,"1st",5,"petrol","5-Speed","Manual",586000
"30","Maruti Suzuki",2017,"blue","hatchback",33113,"1st",5,"petrol","5-Speed","Manual",639000
"31","Maruti Suzuki",2011,"red","hatchback",79565,"1st",5,"petrol","5-Speed","Manual",237000
"32","Honda",2013,"white","sedan",10651,"1st",5,"petrol","5-Speed","Manual",536000
"33","Renault",2020,"bronze","hatchback",27664,"1st",5,"petrol","5-Speed","Manual",456000
"34","Hyundai",2021,"red","hatchback",13389,"1st",5,"petrol","7-Speed","Automatic",1107000
"35","Hyundai",2016,"grey","hatchback",30797,"2nd",5,"petrol","5-Speed","Manual",571000
"36","Honda",2015,"grey","muv",48947,"1st",7,"petrol","5-Speed","Manual",587000
"37","Honda",2017,"white","sedan",37315,"1st",5,"petrol","5-Speed","Manual",629000
"38","Maruti Suzuki",2022,"silver","hatchback",11047,"1st",5,"petrol","5-Speed","Manual",718000
"39","Hyundai",2013,"silver","hatchback",24858,"1st",5,"petrol","5-Speed","Manual",396000
"40","Hyundai",2022,"blue","suv",4839,"1st",5,"petrol","5-Speed","Manual",877000
"41","Tata",2020,"golden","hatchback",16329,"1st",5,"petrol","5-Speed","Manual",774000
"42","Maruti Suzuki",2018,"red","hatchback",57286,"1st",5,"petrol","5-Speed","Manual",554000
"43","Tata",2022,"white","suv",3679,"1st",5,"petrol","6-Speed","Automatic",829000
"44","Hyundai",2014,"white","hatchback",96077,"1st",5,"petrol","5-Speed","Manual",530000
"45","Maruti Suzuki",2017,"grey","hatchback",30406,"1st",5,"petrol","5-Speed","Manual",367000
"46","Hyundai",2018,"grey","hatchback",60873,"1st",5,"petrol","5-Speed","Manual",550000
"47","Maruti Suzuki",2018,"blue","hatchback",24811,"1st",5,"petrol","5-Speed","Manual",660000
"48","Hyundai",2021,"red","hatchback",56275,"1st",5,"petrol","7-Speed","Automatic",998000
"49","Hyundai",2018,"silver","sedan",78981,"1st",5,"diesel","6-Speed","Automatic",1012000
"50","Honda",2021,"silver","sedan",7434,"1st",5,"petrol","7-Speed","Automatic",1537000
"51","Hyundai",2021,"blue","hatchback",10730,"1st",5,"petrol","5-Speed","Manual",908000
"52","Renault",2019,"bronze","hatchback",21996,"1st",5,"petrol","5-Speed","Manual",508000
"53","Maruti Suzuki",2019,"blue","hatchback",3474,"1st",5,"petrol","5-Speed","Manual",417000
"54","Maruti Suzuki",2017,"brown","sedan",64458,"1st",5,"diesel","5-Speed","Manual",725000
"55","Hyundai",2020,"white","hatchback",24360,"1st",5,"petrol","6-Speed","Automatic",980000
"56","Mahindra",2017,"blue","suv",69939,"1st",7,"diesel","5-Speed","Manual",796000
"57","Hyundai",2016,"silver","hatchback",35387,"1st",5,"petrol","5-Speed","Manual",435000
"58","Maruti Suzuki",2015,"blue","hatchback",63035,"2nd",5,"petrol","5-Speed","Manual",554000
"59","Maruti Suzuki",2020,"silver","muv",26190,"1st",5,"petrol","5-Speed","Manual",481000
"60","Maruti Suzuki",2013,"white","hatchback",47013,"1st",5,"petrol","5-Speed","Manual",442000
"61","Hyundai",2019,"grey","hatchback",11734,"1st",5,"petrol","5-Speed","Manual",530000
"62","Maruti Suzuki",2018,"blue","sedan",27902,"1st",5,"petrol","5-Speed","Manual",759000
"63","Hyundai",2015,"blue","sedan",66674,"2nd",5,"petrol","5-Speed","Manual",455000
"64","Tata",2021,"black","suv",38143,"1st",5,"diesel","6-Speed","Automatic",1972000
"65","Maruti Suzuki",2021,"grey","sedan",13554,"1st",5,"petrol","4-Speed","Automatic",1138000
"66","Tata",2022,"red","hatchback",1540,"1st",5,"petrol","6-Speed","Automatic",920000
"67","Hyundai",2021,"black","suv",12285,"1st",5,"petrol","7-Speed","Automatic",1742000
"68","Maruti Suzuki",2015,"blue","hatchback",80408,"1st",5,"petrol","5-Speed","Manual",568000
"69","Maruti Suzuki",2016,"white","hatchback",83377,"1st",5,"petrol","5-Speed","Manual",419000
"70","Renault",2020,"bronze","hatchback",21887,"1st",5,"petrol","5-Speed","Manual",476000
"71","Hyundai",2019,"grey","hatchback",40498,"1st",5,"petrol","5-Speed","Manual",577000
"72","Hyundai",2020,"white","hatchback",18065,"1st",5,"petrol","5-Speed","Manual",541000
"73","Volkswagen",2016,"grey","sedan",70958,"1st",5,"petrol","7-Speed","Automatic",730000
"74","Tata",2021,"white","suv",16090,"1st",5,"diesel","6-Speed","Automatic",1875000
"75","Ford",2015,"grey","suv",55617,"2nd",5,"petrol","6-Speed","Automatic",622000
"76","Hyundai",2018,"brown","sedan",87773,"1st",5,"diesel","6-Speed","Automatic",937000
"77","Hyundai",2016,"brown","crossover",54744,"1st",5,"petrol","5-Speed","Manual",625000
"78","Hyundai",2020,"grey","hatchback",18915,"2nd",5,"petrol","5-Speed","Manual",609000
"79","Hyundai",2016,"white","hatchback",97573,"1st",5,"petrol","5-Speed","Manual",571000
"80","Renault",2019,"grey","hatchback",4776,"1st",5,"petrol","5-Speed","Manual",412000
"81","Hyundai",2018,"white","crossover",24676,"2nd",5,"petrol","5-Speed","Manual",638000
"82","Maruti Suzuki",2018,"blue","suv",52291,"2nd",5,"diesel","5-Speed","Manual",807000
"83","Hyundai",2017,"white","hatchback",49775,"2nd",5,"petrol","5-Speed","Manual",590000
"84","Maruti Suzuki",2017,"brown","suv",83551,"1st",5,"diesel","5-Speed","Manual",651000
"85","Hyundai",2018,"brown","crossover",34075,"2nd",5,"petrol","5-Speed","Manual",694000
"86","Honda",2020,"brown","sedan",14414,"1st",5,"petrol","6-Speed","Automatic",1364000
"87","Ford",2018,"brown","suv",35796,"1st",5,"petrol","5-Speed","Manual",783000
"88","Maruti Suzuki",2020,"red","hatchback",38199,"2nd",5,"petrol","5-Speed","Manual",628000
"89","Nissan",2021,"silver","suv",8197,"1st",5,"petrol","5-Speed","Manual",885000
"90","Maruti Suzuki",2018,"grey","hatchback",27626,"1st",5,"petrol","CVT","Automatic",724000
"91","Hyundai",2014,"blue","sedan",48106,"1st",5,"petrol","5-Speed","Manual",470000
"92","Maruti Suzuki",2021,"grey","sedan",12031,"1st",5,"petrol","5-Speed","Manual",1085000
"93","Maruti Suzuki",2021,"grey","hatchback",5992,"1st",5,"petrol","5-Speed","Manual",620000
"94","Volkswagen",2020,"red","hatchback",20427,"1st",5,"petrol","5-Speed","Manual",659000
"95","Tata",2022,"red","hatchback",8560,"1st",5,"petrol","5-Speed","Manual",953000
"96","Hyundai",2019,"red","suv",58693,"1st",5,"petrol","6-Speed","Automatic",1173000
"97","Maruti Suzuki",2020,"grey","hatchback",18282,"1st",5,"petrol","5-Speed","Manual",457000
"98","Maruti Suzuki",2020,"grey","hatchback",17214,"1st",5,"petrol","5-Speed","Manual",461000
"99","Maruti Suzuki",2013,"red","hatchback",77692,"1st",5,"diesel","5-Speed","Manual",471000
"100","Maruti Suzuki",2020,"white","sedan",10381,"1st",5,"petrol","5-Speed","Manual",902000
"101","Honda",2017,"silver","suv",28831,"1st",5,"petrol","5-Speed","Manual",791000
"102","Toyota",2014,"grey","sedan",72359,"1st",5,"petrol","5-Speed","Manual",506000
"103","Maruti Suzuki",2017,"blue","sedan",36922,"2nd",5,"petrol","5-Speed","Manual",594000
"104","Hyundai",2013,"silver","hatchback",72356,"1st",5,"petrol","4-Speed","Automatic",362000
"105","Hyundai",2018,"white","sedan",55760,"1st",5,"diesel","6-Speed","Automatic",914000
"106","Hyundai",2015,"red","hatchback",77836,"1st",5,"petrol","5-Speed","Manual",544000
"107","Volkswagen",2014,"silver","sedan",68269,"2nd",5,"petrol","5-Speed","Manual",513000
"108","Renault",2020,"yellow","muv",62659,"1st",7,"petrol","5-Speed","Manual",737000
"109","Maruti Suzuki",2018,"brown","sedan",59847,"1st",5,"petrol","5-Speed","Manual",664000
"110","Hyundai",2018,"white","sedan",83607,"1st",5,"diesel","6-Speed","Automatic",1027000
"111","Hyundai",2015,"silver","hatchback",33439,"2nd",5,"petrol","5-Speed","Manual",575000
"112","Honda",2018,"silver","suv",81799,"1st",5,"diesel","6-Speed","Automatic",842000
"113","Volkswagen",2019,"silver","hatchback",30378,"1st",5,"petrol","5-Speed","Manual",742000
"114","Nissan",2022,"red","suv",5129,"1st",5,"petrol","CVT","Automatic",1071000
"115","Hyundai",2021,"blue","suv",8873,"1st",5,"petrol","6-Speed","Automatic",1044000
"116","Hyundai",2014,"blue","sedan",78297,"2nd",5,"diesel","4-Speed","Automatic",639000
"117","Jeep",2017,"white","suv",50808,"1st",5,"diesel","6-Speed","Automatic",1649000
"118","Maruti Suzuki",2020,"grey","hatchback",16384,"1st",5,"petrol","5-Speed","Manual",392000
"119","Tata",2020,"yellow","hatchback",16123,"1st",5,"petrol","5-Speed","Manual",626000
"120","Hyundai",2016,"red","hatchback",47487,"2nd",5,"petrol","5-Speed","Manual",320000
"121","Hyundai",2019,"grey","hatchback",25632,"1st",5,"petrol","5-Speed","Manual",579000
"122","Volkswagen",2017,"grey","sedan",33269,"1st",5,"petrol","5-Speed","Manual",608000
"123","Maruti Suzuki",2018,"red","hatchback",73950,"1st",5,"diesel","5-Speed","Manual",773000
"124","Renault",2015,"silver","muv",70520,"1st",8,"diesel","5-Speed","Manual",615000
"125","Honda",2015,"white","hatchback",50735,"2nd",5,"petrol","5-Speed","Manual",519000
"126","Tata",2021,"bronze","suv",6491,"1st",5,"petrol","5-Speed","Manual",869000
"127","Mahindra",2019,"black","suv",42905,"1st",7,"diesel","6-Speed","Automatic",1399000
"128","Chevrolet",2015,"red","hatchback",42222,"1st",5,"diesel","5-Speed","Manual",356000
"129","Ford",2014,"silver","suv",97902,"1st",5,"diesel","5-Speed","Manual",562000
"130","Hyundai",2018,"grey","hatchback",16760,"1st",5,"petrol","5-Speed","Manual",522000
"131","Hyundai",2019,"red","hatchback",24860,"1st",5,"petrol","5-Speed","Manual",699000
"132","Hyundai",2016,"grey","hatchback",20685,"1st",5,"petrol","5-Speed","Manual",510000
"133","Maruti Suzuki",2021,"red","hatchback",2163,"1st",5,"petrol","5-Speed","Manual",512000
"134","Toyota",2018,"white","hatchback",18170,"1st",5,"petrol","5-Speed","Manual",658000
"135","Honda",2012,"blue","hatchback",66699,"1st",5,"petrol","5-Speed","Manual",369000
"136","Maruti Suzuki",2020,"silver","sedan",19958,"1st",5,"petrol","5-Speed","Manual",966000
"137","Ford",2021,"silver","suv",15924,"1st",5,"petrol","5-Speed","Manual",932000
"138","Hyundai",2018,"red","hatchback",24428,"1st",5,"petrol","5-Speed","Manual",388000
"139","Toyota",2013,"red","sedan",51187,"1st",5,"petrol","5-Speed","Manual",489000
"140","Toyota",2016,"black","sedan",47767,"1st",5,"petrol","6-Speed","Automatic",926000
"141","MG Motors",2020,"maroon","suv",33433,"1st",5,"petrol","6-Speed","Automatic",1709000
"142","Maruti Suzuki",2020,"white","sedan",40635,"1st",5,"petrol","5-Speed","Manual",1039000
"143","MG Motors",2020,"red","suv",25835,"1st",5,"petrol","6-Speed","Automatic",1770000
"144","Maruti Suzuki",2020,"grey","sedan",30752,"1st",5,"petrol","4-Speed","Automatic",1163000
"145","Honda",2020,"red","sedan",16332,"1st",5,"petrol","6-Speed","Automatic",1349000
"146","Kia",2020,"orange","suv",20930,"1st",5,"petrol","7-Speed","Automatic",1705000
"147","Ford",2019,"red","hatchback",14499,"1st",5,"diesel","5-Speed","Manual",739000
"148","Hyundai",2014,"grey","sedan",72009,"1st",5,"diesel","6-Speed","Automatic",600000
"149","Hyundai",2019,"white","suv",23164,"1st",5,"petrol","6-Speed","Automatic",1039000
"150","Maruti Suzuki",2019,"blue","sedan",28618,"1st",5,"petrol","5-Speed","Manual",950000
"151","Honda",2017,"red","suv",88695,"1st",5,"petrol","5-Speed","Manual",748000
"152","Maruti Suzuki",2018,"blue","sedan",7858,"1st",5,"petrol","5-Speed","Manual",820000
"153","Hyundai",2016,"red","crossover",88827,"1st",5,"petrol","5-Speed","Manual",645000
"154","Tata",2017,"silver","sedan",7697,"1st",5,"petrol","5-Speed","Manual",570000
"155","MG Motors",2020,"black","suv",31271,"1st",5,"petrol","6-Speed","Automatic",1764000
"156","Hyundai",2018,"red","hatchback",17121,"1st",5,"petrol","5-Speed","Manual",677000
"157","Hyundai",2017,"white","sedan",60287,"1st",5,"petrol","4-Speed","Automatic",837000
"158","MG Motors",2020,"red","suv",8265,"1st",5,"petrol","6-Speed","Automatic",1826000
"159","Jeep",2017,"red","suv",43091,"2nd",5,"diesel","6-Speed","Automatic",1290000
"160","Jeep",2017,"blue","suv",44503,"1st",5,"diesel","6-Speed","Automatic",1559000
"161","Hyundai",2020,"blue","hatchback",17056,"1st",5,"petrol","5-Speed","Manual",523000
"162","Maruti Suzuki",2018,"blue","suv",61922,"1st",5,"diesel","5-Speed","Manual",942000
"163","Hyundai",2017,"silver","crossover",60629,"1st",5,"petrol","5-Speed","Manual",725000
"164","Hyundai",2017,"black","crossover",32602,"1st",5,"petrol","5-Speed","Manual",711000
"165","Ford",2020,"silver","suv",26116,"1st",5,"petrol","5-Speed","Manual",974000
"166","Hyundai",2016,"brown","crossover",90058,"1st",5,"petrol","5-Speed","Manual",608000
"167","Hyundai",2012,"grey","hatchback",63676,"1st",5,"petrol","5-Speed","Manual",273000
"168","Hyundai",2011,"grey","hatchback",43918,"2nd",5,"petrol","4-Speed","Automatic",304000
"169","Maruti Suzuki",2020,"silver","hatchback",6301,"1st",5,"petrol","5-Speed","Manual",361000
"170","Renault",2017,"grey","hatchback",29907,"1st",5,"petrol","5-Speed","Manual",365000
"171","Hyundai",2016,"white","hatchback",41218,"1st",5,"diesel","6-Speed","Automatic",616000
"172","Maruti Suzuki",2015,"brown","muv",5475,"1st",7,"petrol","5-Speed","Manual",690000
"173","Hyundai",2022,"blue","hatchback",4305,"1st",5,"petrol","5-Speed","Manual",749000
"174","Ford",2017,"bronze","suv",43112,"1st",5,"diesel","5-Speed","Manual",619000
"175","Volkswagen",2015,"grey","hatchback",53807,"1st",5,"diesel","5-Speed","Manual",547000
"176","Hyundai",2015,"silver","hatchback",37837,"1st",5,"petrol","5-Speed","Manual",579000
"177","Renault",2019,"white","muv",11074,"1st",7,"petrol","5-Speed","Manual",686000
"178","Maruti Suzuki",2017,"blue","hatchback",15748,"1st",5,"petrol","5-Speed","Manual",679000
"179","Maruti Suzuki",2015,"red","hatchback",14593,"1st",5,"petrol","5-Speed","Manual",400000
"180","Maruti Suzuki",2015,"white","sedan",30228,"1st",5,"petrol","4-Speed","Automatic",612000
"181","MG Motors",2020,"black","suv",44897,"1st",6,"petrol","6-Speed","Automatic",1644000
"182","Maruti Suzuki",2013,"grey","hatchback",55995,"1st",5,"petrol","5-Speed","Manual",342000
"183","Tata",2021,"grey","hatchback",9936,"1st",5,"petrol","5-Speed","Manual",790000
"184","Hyundai",2017,"red","hatchback",18790,"1st",5,"petrol","5-Speed","Manual",360000
"185","Maruti Suzuki",2015,"red","hatchback",64323,"1st",5,"petrol","5-Speed","Manual",276000
"186","Hyundai",2013,"red","hatchback",32849,"1st",5,"petrol","5-Speed","Manual",352000
"187","Maruti Suzuki",2020,"red","hatchback",22777,"1st",5,"petrol","5-Speed","Manual",363000
"188","Hyundai",2013,"white","hatchback",37652,"1st",5,"petrol","5-Speed","Manual",333000
"189","Hyundai",2016,"red","hatchback",93446,"1st",5,"diesel","6-Speed","Automatic",589000
"190","Renault",2022,"blue","suv",11031,"1st",5,"petrol","5-Speed","Manual",735000
"191","Maruti Suzuki",2021,"white","hatchback",9752,"1st",5,"petrol","5-Speed","Manual",790000
"192","Maruti Suzuki",2019,"red","suv",15418,"1st",5,"diesel","5-Speed","Manual",1117000
"193","Maruti Suzuki",2020,"grey","hatchback",8249,"1st",5,"petrol","5-Speed","Manual",660000
"194","Hyundai",2021,"blue","hatchback",10514,"1st",5,"petrol","5-Speed","Manual",678000
"195","Honda",2019,"silver","sedan",24136,"2nd",5,"petrol","5-Speed","Manual",857000
"196","Renault",2019,"blue","hatchback",18638,"1st",5,"petrol","5-Speed","Manual",483000
"197","Hyundai",2013,"red","hatchback",93653,"2nd",5,"petrol","5-Speed","Manual",248000
"198","Jeep",2017,"black","suv",60049,"1st",5,"diesel","6-Speed","Automatic",1500000
"199","Maruti Suzuki",2019,"brown","sedan",31330,"2nd",5,"petrol","5-Speed","Manual",759000
"200","Hyundai",2012,"red","hatchback",49014,"2nd",5,"petrol","5-Speed","Manual",336000
"201","Maruti Suzuki",2015,"silver","sedan",56221,"1st",5,"petrol","5-Speed","Manual",677000
"202","Maruti Suzuki",2017,"blue","hatchback",20894,"1st",5,"petrol","5-Speed","Manual",711000
"203","Hyundai",2016,"grey","suv",88735,"2nd",5,"diesel","6-Speed","Manual",1099000
"204","Hyundai",2016,"grey","suv",88735,"2nd",5,"diesel","6-Speed","Manual",1099000
"205","Hyundai",2016,"grey","suv",88735,"2nd",5,"diesel","6-Speed","Manual",1099000
"206","Hyundai",2016,"grey","suv",88735,"2nd",5,"diesel","6-Speed","Manual",1099000
"207","Renault",2021,"white","suv",9034,"1st",5,"petrol","5-Speed","Automatic",1078000
"208","Maruti Suzuki",2014,"silver","hatchback",63746,"3rd",5,"petrol","5-Speed","Automatic",348000
"209","Hyundai",2016,"white","hatchback",85602,"1st",5,"petrol","5-Speed","Manual",659000
"210","Hyundai",2013,"purple","sedan",59054,"2nd",5,"petrol","5-Speed","Automatic",501000
"211","Renault",2017,"white","suv",50811,"1st",5,"diesel","6-Speed","Manual",1013000
"212","Kia",2020,"silver","suv",38198,"1st",5,"petrol","7-Speed","Manual",1741000
"213","Maruti Suzuki",2018,"silver","sedan",92118,"1st",5,"petrol","4-Speed","Manual",829000
"214","Hyundai",2014,"white","sedan",72801,"1st",5,"petrol","5-Speed","Manual",496000
"215","Hyundai",2014,"grey","hatchback",38592,"2nd",5,"petrol","5-Speed","Manual",269000
"216","Honda",2019,"brown","sedan",22379,"1st",5,"petrol","5-Speed","Manual",927000
"217","Maruti Suzuki",2016,"silver","hatchback",44822,"2nd",5,"petrol","5-Speed","Manual",451000
"218","Renault",2021,"white","hatchback",13069,"1st",5,"petrol","5-Speed","Automatic",532000
"219","Maruti Suzuki",2011,"brown","hatchback",96939,"1st",5,"petrol","5-Speed","Manual",338000
"220","Mahindra",2015,"silver","suv",71397,"2nd",7,"diesel","6-Speed","Manual",1032000
"221","Hyundai",2019,"beige","hatchback",21903,"1st",5,"petrol","5-Speed","Manual",557000
"222","Hyundai",2020,"grey","hatchback",9468,"1st",5,"petrol","5-Speed","Automatic",653000
"223","Honda",2018,"brown","sedan",60209,"1st",5,"petrol","5-Speed","Manual",898000
"224","Renault",2016,"orange","suv",69658,"1st",5,"diesel","6-Speed","Manual",912000
"225","Hyundai",2015,"white","hatchback",81103,"1st",5,"diesel","6-Speed","Manual",642000
"226","Renault",2020,"blue","muv",57503,"1st",7,"petrol","5-Speed","Manual",651000
"227","Maruti Suzuki",2018,"silver","hatchback",45560,"1st",5,"petrol","5-Speed","Automatic",503000
"228","Maruti Suzuki",2012,"silver","hatchback",45008,"2nd",5,"petrol","4-Speed","Automatic",330000
"229","Maruti Suzuki",2011,"grey","hatchback",51210,"2nd",5,"petrol","5-Speed","Manual",395000
"230","Hyundai",2017,"silver","suv",44894,"1st",5,"diesel","6-Speed","Manual",1235000
"231","Maruti Suzuki",2015,"white","suv",39515,"1st",5,"diesel","5-Speed","Automatic",808000
"232","Hyundai",2015,"silver","hatchback",54287,"1st",5,"petrol","5-Speed","Manual",458000
"233","Hyundai",2013,"white","sedan",91039,"1st",5,"petrol","5-Speed","Automatic",514000
"234","Honda",2015,"grey","sedan",49435,"1st",5,"petrol","5-Speed","Manual",512000
"235","Skoda",2019,"black","sedan",9686,"1st",5,"petrol","7-Speed","Automatic",2941000
"236","Honda",2021,"white","sedan",12092,"1st",5,"petrol","6-Speed","Manual",1346000
"237","Maruti Suzuki",2019,"blue","hatchback",27053,"1st",5,"petrol","5-Speed","Manual",844000
"238","Maruti Suzuki",2019,"blue","hatchback",27053,"1st",5,"petrol","5-Speed","Manual",844000
"239","Maruti Suzuki",2019,"blue","hatchback",27053,"1st",5,"petrol","5-Speed","Manual",844000
"240","Maruti Suzuki",2019,"blue","hatchback",27053,"1st",5,"petrol","5-Speed","Manual",844000
"241","Maruti Suzuki",2017,"blue","sedan",28833,"1st",5,"petrol","5-Speed","Automatic",789000
"242","Honda",2016,"red","hatchback",48606,"2nd",5,"petrol","5-Speed","Manual",570000
"243","Maruti Suzuki",2016,"red","hatchback",96236,"1st",5,"petrol","5-Speed","Manual",639000
"244","Maruti Suzuki",2012,"silver","sedan",37258,"1st",5,"petrol","5-Speed","Manual",470000
