"","Rating","Size","Sector","avg_salary","job_state"
"1",3.8,"501 to 1000 employees","Aerospace & Defense",72," NM"
"2",3.4,"10000+ employees","Health Care",87.5," MD"
"3",4.8,"501 to 1000 employees","Business Services",85," FL"
"4",3.8,"1001 to 5000 employees","Oil, Gas, Energy & Utilities",76.5," WA"
"5",2.9,"51 to 200 employees","Business Services",114.5," NY"
"6",3.4,"201 to 500 employees","Real Estate",95," TX"
"7",4.1,"501 to 1000 employees","Finance",73.5," MD"
"8",3.8,"201 to 500 employees","Business Services",114," CA"
"9",3.3,"10000+ employees","Health Care",61," NY"
"10",4.6,"51 to 200 employees","Information Technology",140," NY"
"11",3.5,"501 to 1000 employees","Retail",163.5," CA"
"12",4.1,"5001 to 10000 employees","Business Services",85," VA"
"13",3.2,"10000+ employees","Retail",139," TX"
"14",4.1,"201 to 500 employees","Business Services",65.5," WA"
"15",3.7,"10000+ employees","Biotech & Pharmaceuticals",113.5," MA"
"16",3.6,"1001 to 5000 employees","Media",146," NJ"
"17",3.9,"51 to 200 employees","Biotech & Pharmaceuticals",102," MA"
"18",4.3,"201 to 500 employees","Information Technology",153.5," CA"
"19",4.2,"51 to 200 employees","Information Technology",142.5," CA"
"20",4,"501 to 1000 employees","Insurance",87.5," CO"
"21",3.2,"201 to 500 employees","Information Technology",105.5," WA"
"22",3.9,"201 to 500 employees","Insurance",96," TX"
"23",3.8,"501 to 1000 employees","Transportation & Logistics",112.5," IL"
"24",4.3,"51 to 200 employees","Transportation & Logistics",84," KY"
"25",4,"501 to 1000 employees","Information Technology",143," VA"
"26",4,"10000+ employees","Biotech & Pharmaceuticals",86.5," MA"
"27",3.5,"1001 to 5000 employees","Finance",99.5," OR"
"28",3.7,"5001 to 10000 employees","Insurance",47.5," MA"
"29",4,"10000+ employees","Biotech & Pharmaceuticals",84," CT"
"30",4.8,"501 to 1000 employees","Business Services",85," FL"
"31",3.8,"1001 to 5000 employees","Oil, Gas, Energy & Utilities",76.5," WA"
"32",3.6,"1001 to 5000 employees","Real Estate",96," MI"
"33",3.8,"10000+ employees","Biotech & Pharmaceuticals",114.5," MA"
"34",3.8,"5001 to 10000 employees","Telecommunications",121," CA"
"35",4.7,"201 to 500 employees","Biotech & Pharmaceuticals",112.5," MA"
"36",4.2,"201 to 500 employees","Information Technology",106," CA"
"37",3.5,"1001 to 5000 employees","Information Technology",107," CA"
"38",4.7,"201 to 500 employees","Aerospace & Defense",110," MA"
"39",3.5,"5001 to 10000 employees","Biotech & Pharmaceuticals",147.5," CA"
"40",3.5,"201 to 500 employees","Insurance",106," NY"
"41",4.2,"201 to 500 employees","Information Technology",88," CA"
"42",3.6,"1 to 50 employees","-1",98.5," MA"
"43",4.2,"51 to 200 employees","Information Technology",142.5," CA"
"44",3.4,"5001 to 10000 employees","Manufacturing",82.5," NJ"
"45",4.3,"1001 to 5000 employees","Real Estate",130," IL"
"46",5,"Unknown","Information Technology",155," DC"
"47",3.7,"10000+ employees","Information Technology",184.5," WA"
"48",3.1,"5001 to 10000 employees","Information Technology",29.5," CO"
"49",4.7,"501 to 1000 employees","Aerospace & Defense",86.5," OH"
"50",3.7,"10000+ employees","Manufacturing",81," IL"
"51",3.8,"501 to 1000 employees","Business Services",91," FL"
"52",3.3,"10000+ employees","Insurance",114.5," MA"
"53",4.6,"1001 to 5000 employees","Aerospace & Defense",68," AL"
"54",3.7,"10000+ employees","Insurance",115," NY"
"55",3.7,"10000+ employees","Aerospace & Defense",109.5," CA"
"56",3.5,"5001 to 10000 employees","Biotech & Pharmaceuticals",75.5," NM"
"57",4.1,"501 to 1000 employees","Information Technology",154.5," CA"
"58",4.7,"51 to 200 employees","Information Technology",143.5," MO"
"59",4.1,"501 to 1000 employees","Finance",73.5," MD"
"60",3.4,"201 to 500 employees","Real Estate",95," TX"
"61",4.4,"201 to 500 employees","Mining & Metals",107," OH"
"62",4.3,"201 to 500 employees","Business Services",115," NY"
"63",3.8,"501 to 1000 employees","Finance",139.5," CA"
"64",3.8,"1001 to 5000 employees","Oil, Gas, Energy & Utilities",67," WA"
"65",3.8,"10000+ employees","Retail",85," PA"
"66",2.8,"51 to 200 employees","Biotech & Pharmaceuticals",118," MA"
"67",4.7,"51 to 200 employees","Information Technology",79.5," GA"
"68",3.1,"201 to 500 employees","Business Services",56.5," MA"
"69",3.2,"1 to 50 employees","Business Services",128.5," PA"
"70",4,"10000+ employees","Information Technology",97.5," WA"
"71",4.4,"1 to 50 employees","Information Technology",66.5," IN"
"72",3.6,"10000+ employees","Business Services",179.5," IL"
"73",2.7,"501 to 1000 employees","Business Services",76," MO"
"74",3.9,"501 to 1000 employees","Information Technology",112," VA"
"75",3.1,"1001 to 5000 employees","Mining & Metals",98," PA"
"76",4,"10000+ employees","Information Technology",128," WA"
"77",4.3,"201 to 500 employees","Information Technology",150.5," CA"
"78",1.9,"51 to 200 employees","Biotech & Pharmaceuticals",87.5," MA"
"79",3.3,"1001 to 5000 employees","Aerospace & Defense",110," VA"
"80",4.4,"10000+ employees","Information Technology",113.5," CA"
"81",3.9,"51 to 200 employees","Health Care",124," CA"
"82",4.7,"201 to 500 employees","Business Services",56.5," PA"
"83",4.5,"5001 to 10000 employees","Aerospace & Defense",130," MD"
"84",4.3,"51 to 200 employees","Information Technology",77.5," IL"
"85",4,"201 to 500 employees","Business Services",87," VA"
"86",4.4,"501 to 1000 employees","Business Services",53.5," WA"
"87",3.2,"10000+ employees","Retail",139," TX"
"88",3.8,"201 to 500 employees","Business Services",114," CA"
"89",4.2,"501 to 1000 employees","Information Technology",85.5," FL"
"90",4.5,"51 to 200 employees","Information Technology",48," AL"
"91",3.5,"51 to 200 employees","Information Technology",48," LA"
"92",3.5,"201 to 500 employees","Biotech & Pharmaceuticals",174," CA"
"93",3.9,"5001 to 10000 employees","Finance",85," GA"
"94",4.7,"51 to 200 employees","Information Technology",106.5," MD"
"95",4.2,"1001 to 5000 employees","Information Technology",72.5," MD"
"96",3.4,"10000+ employees","Information Technology",85.5," MD"
"97",3.2,"5001 to 10000 employees","Government",97.5," VA"
"98",3.9,"501 to 1000 employees","Information Technology",99," VA"
"99",3.1,"1001 to 5000 employees","Insurance",56.5," WI"
"100",4.1,"1 to 50 employees","Information Technology",133," MD"
"101",3.8,"51 to 200 employees","Business Services",121," NY"
"102",4.7,"501 to 1000 employees","Business Services",85.5," NY"
"103",4.3,"1001 to 5000 employees","Education",87.5," TX"
"104",4.2,"1001 to 5000 employees","Business Services",237.5," DC"
"105",3.9,"1001 to 5000 employees","Information Technology",95.5," NC"
"106",3.3,"10000+ employees","Manufacturing",104.5," MI"
"107",4.7,"201 to 500 employees","Information Technology",56.5," NJ"
"108",4.3,"201 to 500 employees","Information Technology",55," AZ"
"109",2.9,"1001 to 5000 employees","Health Care",61.5," NE"
"110",4.5,"201 to 500 employees","Information Technology",157," CA"
"111",3.4,"201 to 500 employees","Information Technology",78," NJ"
"112",3.7,"10000+ employees","Biotech & Pharmaceuticals",113.5," MA"
"113",4.6,"51 to 200 employees","Information Technology",140," NY"
"114",3.2,"51 to 200 employees","Information Technology",132.5," CA"
"115",4,"5001 to 10000 employees","Information Technology",108," CA"
"116",4.6,"501 to 1000 employees","Agriculture & Forestry",80.5," IN"
"117",2.8,"201 to 500 employees","Health Care",107.5," MD"
"118",4.7,"51 to 200 employees","Business Services",95," MN"
"119",3,"1001 to 5000 employees","Health Care",119.5," CA"
"120",3.2,"1001 to 5000 employees","Business Services",134," NC"
"121",4.4,"201 to 500 employees","Information Technology",100.5," MA"
"122",3.5,"1001 to 5000 employees","Media",107.5," OH"
"123",4,"51 to 200 employees","Information Technology",122," DC"
"124",4.3,"1001 to 5000 employees","Real Estate",92.5," IL"
"125",2.3,"501 to 1000 employees","Business Services",62," MD"
"126",4,"51 to 200 employees","Business Services",39.5," AL"
"127",3.6,"1001 to 5000 employees","Manufacturing",107.5," Los Angeles"
"128",3.8,"501 to 1000 employees","Business Services",40.5," MO"
"129",3.7,"10000+ employees","Information Technology",89.5," VA"
"130",4.4,"201 to 500 employees","Business Services",81," IL"
"131",4,"501 to 1000 employees","Information Technology",147," VA"
"132",3.2,"1001 to 5000 employees","Finance",85," TX"
"133",2.9,"1001 to 5000 employees","Manufacturing",81.5," CA"
"134",3.8,"1001 to 5000 employees","Biotech & Pharmaceuticals",168," CA"
"135",4.3,"1 to 50 employees","Aerospace & Defense",100.5," CO"
"136",3.4,"1001 to 5000 employees","Business Services",97," NY"
"137",4.1,"5001 to 10000 employees","Business Services",85," VA"
"138",4.3,"201 to 500 employees","Information Technology",153.5," CA"
"139",5,"51 to 200 employees","Information Technology",132.5," FL"
"140",4.3,"51 to 200 employees","Information Technology",100," IL"
"141",3.7,"201 to 500 employees","Travel & Tourism",105," CO"
"142",4.2,"10000+ employees","Non-Profit",87," UT"
"143",4.3,"51 to 200 employees","Real Estate",103.5," CA"
"144",2.6,"501 to 1000 employees","Education",124," PA"
"145",3.8,"1001 to 5000 employees","Oil, Gas, Energy & Utilities",67," WA"
"146",3.9,"10000+ employees","Information Technology",87," DC"
"147",4.3,"201 to 500 employees","Information Technology",137.5," IL"
"148",3.8,"201 to 500 employees","Business Services",100," OH"
"149",3.8,"5001 to 10000 employees","Insurance",106.5," TN"
"150",3.8,"1001 to 5000 employees","Oil, Gas, Energy & Utilities",98.5," WA"
"151",4.8,"501 to 1000 employees","Business Services",61," FL"
"152",4.4,"51 to 200 employees","Business Services",106.5," IN"
"153",3.9,"51 to 200 employees","Information Technology",84.5," MA"
"154",3.4,"1001 to 5000 employees","Manufacturing",109.5," NJ"
"155",3.6,"5001 to 10000 employees","Insurance",164," MA"
"156",3.9,"10000+ employees","Biotech & Pharmaceuticals",169," CA"
"157",3.8,"5001 to 10000 employees","Telecommunications",142," CA"
"158",3.7,"10000+ employees","Biotech & Pharmaceuticals",76.5," MA"
"159",3.8,"501 to 1000 employees","Insurance",107," MD"
"160",3.5,"10000+ employees","Information Technology",171.5," CA"
"161",3.9,"201 to 500 employees","Insurance",96," TX"
"162",4.2,"51 to 200 employees","Information Technology",142.5," CA"
"163",4.2,"10000+ employees","Non-Profit",107," UT"
"164",3.5,"1001 to 5000 employees","Biotech & Pharmaceuticals",145," MA"
"165",2.9,"201 to 500 employees","Education",61.5," VA"
"166",3.6,"5001 to 10000 employees","Health Care",20.5," PA"
"167",2.7,"51 to 200 employees","Finance",120," WI"
"168",4.4,"201 to 500 employees","Biotech & Pharmaceuticals",62," MA"
"169",4,"5001 to 10000 employees","Information Technology",150.5," CA"
"170",4.3,"201 to 500 employees","Business Services",87.5," MI"
"171",4.2,"51 to 200 employees","Business Services",71.5," FL"
"172",3.6,"51 to 200 employees","Retail",51.5," CA"
"173",3.7,"10000+ employees","Biotech & Pharmaceuticals",151.5," CA"
"174",2.8,"201 to 500 employees","Information Technology",77.5," NJ"
"175",3.7,"10000+ employees","Biotech & Pharmaceuticals",140," MA"
"176",3.3,"1001 to 5000 employees","Insurance",98.5," NJ"
"178",3.6,"1001 to 5000 employees","Health Care",27.5," DE"
"179",3.7,"10000+ employees","Biotech & Pharmaceuticals",161.5," MA"
"180",3.4,"1001 to 5000 employees","Insurance",147," NY"
"181",4.1,"501 to 1000 employees","Oil, Gas, Energy & Utilities",61," MO"
"182",2.6,"501 to 1000 employees","Education",120," PA"
"183",3.2,"1001 to 5000 employees","Finance",124.5," AZ"
"184",3.9,"51 to 200 employees","Finance",148," CA"
"185",4.7,"51 to 200 employees","Aerospace & Defense",59," AL"
"186",3.7,"5001 to 10000 employees","Insurance",146.5," MA"
"187",2.9,"201 to 500 employees","Biotech & Pharmaceuticals",91.5," MA"
"188",3,"501 to 1000 employees","Biotech & Pharmaceuticals",133," IL"
"189",4.7,"51 to 200 employees","Biotech & Pharmaceuticals",140.5," UT"
"190",3.7,"501 to 1000 employees","Information Technology",70.5," LA"
"191",3.3,"10000+ employees","Health Care",84.5," NY"
"192",4,"51 to 200 employees","Information Technology",93.5," MD"
"193",4.4,"201 to 500 employees","Biotech & Pharmaceuticals",134.5," MA"
"194",3.9,"201 to 500 employees","Information Technology",181," CA"
"195",3.3,"10000+ employees","Health Care",84.5," NY"
"196",4.1,"51 to 200 employees","Information Technology",205," CA"
"197",3.6,"1001 to 5000 employees","Arts, Entertainment & Recreation",48.5," CA"
"198",4,"1001 to 5000 employees","Health Care",21.5," TX"
"199",2.4,"501 to 1000 employees","Manufacturing",52.5," IL"
"200",2.6,"501 to 1000 employees","Education",124," PA"
"201",3.5,"501 to 1000 employees","Health Care",64," CA"
"202",3,"10000+ employees","Retail",98," TN"
"203",3.6,"1001 to 5000 employees","Health Care",27.5," DE"
"204",3.3,"501 to 1000 employees","Manufacturing",54," WI"
"205",2.7,"201 to 500 employees","Biotech & Pharmaceuticals",81," MD"
"206",3.4,"1001 to 5000 employees","Transportation & Logistics",107.5," IL"
"207",3.8,"501 to 1000 employees","Transportation & Logistics",112.5," IL"
"208",3.7,"10000+ employees","Aerospace & Defense",89," VA"
"209",4.8,"1001 to 5000 employees","Insurance",100.5," WI"
"210",3.8,"1001 to 5000 employees","Travel & Tourism",65," NY"
"211",3.4,"10000+ employees","Government",20," LA"
"212",4.3,"201 to 500 employees","Business Services",72.5," TX"
"213",4.8,"501 to 1000 employees","Business Services",61," FL"
"214",3.4,"1001 to 5000 employees","Manufacturing",109.5," NJ"
"215",3.9,"51 to 200 employees","Information Technology",84.5," MA"
"216",3.4,"51 to 200 employees","Business Services",87.5," IL"
"217",3.1,"1001 to 5000 employees","Media",92.5," CA"
"218",3.2,"5001 to 10000 employees","Government",81.5," VA"
"219",4.3,"1001 to 5000 employees","Transportation & Logistics",79," OH"
"220",3.6,"5001 to 10000 employees","Insurance",164," MA"
"221",3.9,"10000+ employees","Biotech & Pharmaceuticals",169," CA"
"222",3.8,"5001 to 10000 employees","Telecommunications",142," CA"
"223",2.8,"501 to 1000 employees","Non-Profit",47.5," CA"
"224",3.7,"10000+ employees","Biotech & Pharmaceuticals",76.5," MA"
"225",3.4,"51 to 200 employees","Information Technology",69," CA"
"226",4,"201 to 500 employees","Information Technology",49," ID"
"227",3.5,"10000+ employees","Information Technology",171.5," CA"
"228",3.8,"501 to 1000 employees","Insurance",107," MD"
"229",3.7,"201 to 500 employees","Information Technology",59," NJ"
"230",3.5,"201 to 500 employees","Information Technology",88.5," IN"
"231",4.2,"10000+ employees","Non-Profit",107," UT"
"232",4,"10000+ employees","Biotech & Pharmaceuticals",86.5," MA"
"233",4.3,"51 to 200 employees","Transportation & Logistics",84," KY"
"234",4.7,"201 to 500 employees","Business Services",114.5," NY"
"235",3.5,"1001 to 5000 employees","Biotech & Pharmaceuticals",145," MA"
"236",4.4,"1001 to 5000 employees","Information Technology",88," TN"
"237",4.1,"501 to 1000 employees","Information Technology",100," IL"
"238",2.9,"201 to 500 employees","Education",61.5," VA"
"239",2.5,"1001 to 5000 employees","Business Services",96.5," OR"
"240",4.2,"201 to 500 employees","Business Services",76," MN"
"241",3.9,"1001 to 5000 employees","Business Services",15.5," NY"
"242",4.3,"1 to 50 employees","Business Services",83.5," TX"
"243",2.7,"51 to 200 employees","Finance",120," WI"
"244",3.9,"10000+ employees","Biotech & Pharmaceuticals",163," CA"
"245",3.4,"501 to 1000 employees","Insurance",100," RI"
"246",3.8,"1001 to 5000 employees","Non-Profit",52.5," NE"
"247",3.6,"5001 to 10000 employees","Health Care",20.5," PA"
"248",3.3,"501 to 1000 employees","Health Care",50," DC"
"249",3.4,"201 to 500 employees","Business Services",93," TX"
"250",3,"1001 to 5000 employees","Insurance",94.5," OH"
"251",4,"5001 to 10000 employees","Information Technology",150.5," CA"
"252",3.7,"1001 to 5000 employees","Insurance",102," NC"
"253",4.4,"201 to 500 employees","Biotech & Pharmaceuticals",62," MA"
"254",4.3,"201 to 500 employees","Business Services",87.5," MI"
"255",4,"10000+ employees","Biotech & Pharmaceuticals",84," CT"
"256",4,"501 to 1000 employees","Information Technology",143," VA"
"257",3.2,"1 to 50 employees","Business Services",155," PA"
"258",4.2,"51 to 200 employees","Business Services",71.5," FL"
"259",3.9,"51 to 200 employees","Insurance",108," CA"
"260",3.7,"10000+ employees","Biotech & Pharmaceuticals",151.5," CA"
"261",3.6,"51 to 200 employees","Retail",51.5," CA"
"262",3.7,"10000+ employees","Biotech & Pharmaceuticals",140," MA"
"263",2.8,"201 to 500 employees","Information Technology",77.5," NJ"
"264",4.2,"501 to 1000 employees","Finance",63.5," ID"
"265",4,"1 to 50 employees","Information Technology",109," CA"
"266",3.5,"5001 to 10000 employees","Aerospace & Defense",96," TN"
"268",3.2,"1001 to 5000 employees","Finance",101," CA"
"269",3.3,"1001 to 5000 employees","Insurance",98.5," NJ"
"270",3.9,"1001 to 5000 employees","Manufacturing",77.5," IA"
"271",3.7,"10000+ employees","Biotech & Pharmaceuticals",161.5," MA"
"272",3.6,"1001 to 5000 employees","Health Care",27.5," DE"
"273",3.4,"1001 to 5000 employees","Insurance",147," NY"
"274",3.5,"10000+ employees","Information Technology",90," CA"
"275",4.3,"501 to 1000 employees","Finance",58," NJ"
"276",4.1,"501 to 1000 employees","Oil, Gas, Energy & Utilities",61," MO"
"277",2.6,"501 to 1000 employees","Education",120," PA"
"278",3.6,"1001 to 5000 employees","Retail",128," NY"
"279",3.5,"1001 to 5000 employees","Finance",99.5," OR"
"280",3.6,"1001 to 5000 employees","Real Estate",96," MI"
"281",2.3,"201 to 500 employees","Biotech & Pharmaceuticals",101," DC"
"282",3.9,"51 to 200 employees","Finance",148," CA"
"283",4,"501 to 1000 employees","Information Technology",142," VA"
"284",4.1,"1 to 50 employees","Education",169," CA"
"285",3.2,"1001 to 5000 employees","Finance",124.5," AZ"
"286",4.7,"51 to 200 employees","Aerospace & Defense",59," AL"
"287",4.2,"51 to 200 employees","Business Services",52.5," CA"
"288",4.6,"501 to 1000 employees","Information Technology",75.5," TX"
"289",3.7,"10000+ employees","Insurance",139," NY"
"290",3.7,"10000+ employees","Biotech & Pharmaceuticals",102.5," MA"
"291",4.4,"201 to 500 employees","Business Services",60.5," SC"
"292",3.7,"5001 to 10000 employees","Insurance",146.5," MA"
"293",3.9,"10000+ employees","Biotech & Pharmaceuticals",125," CA"
"294",3.6,"5001 to 10000 employees","Insurance",81," MA"
"295",3,"501 to 1000 employees","Biotech & Pharmaceuticals",133," IL"
"296",3.4,"10000+ employees","Information Technology",77," DC"
"297",4.1,"5001 to 10000 employees","Business Services",92," VA"
"298",3.8,"10000+ employees","Biotech & Pharmaceuticals",121," MA"
"299",4,"5001 to 10000 employees","Information Technology",162.5," CA"
"300",3.9,"1001 to 5000 employees","Business Services",60," TX"
"302",4.4,"1 to 50 employees","Information Technology",90.5," IN"
"303",3.8,"10000+ employees","Biotech & Pharmaceuticals",114.5," MA"
"304",3.8,"5001 to 10000 employees","Telecommunications",121," CA"
"305",2.2,"501 to 1000 employees","Business Services",110," TX"
"306",2.9,"201 to 500 employees","Biotech & Pharmaceuticals",91.5," MA"
"307",4.1,"5001 to 10000 employees","Business Services",70.5," VA"
"308",3.7,"501 to 1000 employees","Information Technology",70.5," LA"
"309",3.8,"1001 to 5000 employees","Oil, Gas, Energy & Utilities",76.5," WA"
"310",3.6,"5001 to 10000 employees","Insurance",92," MA"
"311",4.7,"51 to 200 employees","Biotech & Pharmaceuticals",140.5," UT"
"312",3.5,"1001 to 5000 employees","Information Technology",82," VA"
"313",3.3,"10000+ employees","Health Care",84.5," NY"
"314",4.4,"201 to 500 employees","Biotech & Pharmaceuticals",134.5," MA"
"315",3.3,"201 to 500 employees","Business Services",164.5," CA"
"316",3.4,"201 to 500 employees","Telecommunications",44," FL"
"317",4,"51 to 200 employees","Information Technology",93.5," MD"
"318",4.4,"1 to 50 employees","Information Technology",109," VA"
"319",3.8,"501 to 1000 employees","Information Technology",149.5," TX"
"320",3.5,"1001 to 5000 employees","Business Services",65.5," DC"
"321",3.5,"1001 to 5000 employees","Insurance",124.5," NC"
"322",2.9,"51 to 200 employees","Business Services",114," CA"
"323",3.9,"501 to 1000 employees","Finance",49," PA"
"324",3.3,"10000+ employees","Health Care",84.5," NY"
"325",3.7,"501 to 1000 employees","Information Technology",71," VA"
"326",3.6,"5001 to 10000 employees","Insurance",101," MA"
"327",3.5,"1001 to 5000 employees","Information Technology",107," CA"
"328",4.7,"201 to 500 employees","Biotech & Pharmaceuticals",112.5," MA"
"329",3.9,"201 to 500 employees","Information Technology",181," CA"
"330",3.7,"10000+ employees","Information Technology",61," IL"
"331",4.1,"51 to 200 employees","Information Technology",205," CA"
"332",3.1,"5001 to 10000 employees","Manufacturing",103.5," KY"
"333",3.6,"5001 to 10000 employees","Insurance",63," MA"
"334",3,"10000+ employees","Information Technology",62.5," CT"
"335",3.5,"501 to 1000 employees","Health Care",94.5," CA"
"336",3.6,"1001 to 5000 employees","Arts, Entertainment & Recreation",48.5," CA"
"337",3.5,"1001 to 5000 employees","Biotech & Pharmaceuticals",154.5," MA"
"338",4,"1001 to 5000 employees","Health Care",21.5," TX"
"339",3.7,"501 to 1000 employees","Finance",87," KS"
"340",2.4,"501 to 1000 employees","Manufacturing",52.5," IL"
"341",3.2,"501 to 1000 employees","Business Services",64.5," NY"
"342",2.1,"201 to 500 employees","Biotech & Pharmaceuticals",111.5," CA"
"343",3.7,"10000+ employees","Biotech & Pharmaceuticals",154.5," MA"
"344",2.6,"501 to 1000 employees","Education",124," PA"
"345",4.4,"201 to 500 employees","Business Services",128.5," IL"
"346",3.7,"501 to 1000 employees","Health Care",31.5," CO"
"347",3.5,"501 to 1000 employees","Health Care",64," CA"
"348",3,"10000+ employees","Retail",98," TN"
"349",4.2,"51 to 200 employees","Information Technology",142.5," CA"
"350",3.9,"10000+ employees","Biotech & Pharmaceuticals",137," NY"
"351",4,"501 to 1000 employees","Insurance",99," CO"
"352",3.3,"501 to 1000 employees","Manufacturing",54," WI"
"353",4.4,"1001 to 5000 employees","Information Technology",139.5," MA"
"354",3.4,"201 to 500 employees","Information Technology",109," MD"
"355",3.3,"10000+ employees","Insurance",254," IL"
"356",2.9,"201 to 500 employees","Biotech & Pharmaceuticals",73," CA"
"357",2.7,"201 to 500 employees","Biotech & Pharmaceuticals",81," MD"
"358",3.6,"1001 to 5000 employees","Health Care",27.5," DE"
"359",3.1,"5001 to 10000 employees","Manufacturing",99.5," NC"
"360",3.3,"501 to 1000 employees","Insurance",45.5," OH"
"361",4.5,"51 to 200 employees","Business Services",122.5," IN"
"362",3.9,"5001 to 10000 employees","Finance",140," IL"
"363",3.2,"5001 to 10000 employees","Government",77.5," VA"
"364",3.3,"1 to 50 employees","Construction, Repair & Maintenance",26.5," MA"
"365",3.1,"5001 to 10000 employees","Manufacturing",117.5," NC"
"366",2.4,"501 to 1000 employees","Biotech & Pharmaceuticals",70.5," CA"
"367",4.8,"51 to 200 employees","Information Technology",61.5," CA"
"368",2.9,"1001 to 5000 employees","Biotech & Pharmaceuticals",70," NY"
